district_code,state,district_num,pres16_total,pres16_dem,pres16_rep,comp16-20_total,comp16-22_total,comp16-20_dem,comp16-22_dem,comp16-20_rep,comp16-22_rep,pres20_total,pres20_dem,pres20_rep,pres24_total,pres24_dem,pres24_rep,pop_adj_total,pop_adj_white,pop_adj_hispanic,pop_adj_black,pop_adj_asian,pop_adj_native,pop_adj_pacific,vap_total,vap_white,vap_hispanic,vap_black,vap_asian,vap_native,vap_pacific,x_22_2022_age_age_0_9,x_22_2022_age_age_10_19,x_22_2022_age_age_20_29,x_22_2022_age_age_30_39,x_22_2022_age_age_40_49,x_22_2022_age_age_50_59,x_22_2022_age_age_60_69,x_22_2022_age_age_70_79,x_22_2022_age_age_o79,x_22_2022_education_assoc,x_22_2022_education_bach,x_22_2022_education_doc,x_22_2022_education_hs,x_22_2022_education_master,x_22_2022_education_nohs,x_22_2022_education_prof,x_22_2022_education_somecol,x_22_2022_household_income_100_125k,x_22_2022_household_income_10_15k,x_22_2022_household_income_125_150k,x_22_2022_household_income_150_200k,x_22_2022_household_income_15_20k,x_22_2022_household_income_20_25k,x_22_2022_household_income_25_30k,x_22_2022_household_income_30_35k,x_22_2022_household_income_35_40k,x_22_2022_household_income_40_45k,x_22_2022_household_income_45_50k,x_22_2022_household_income_50_60k,x_22_2022_household_income_60_75k,x_22_2022_household_income_75_100k,x_22_2022_household_income_o200k,x_22_2022_household_income_u10k
CA-01,CA,1,308267,126506,157069,,304006,,135584,,161401,367569,169328,188574,342026,147916,182998,760433,519662,133512,16853,30202,62566,4952,609151,434303,94107,13488,21964,44660,3539,86154,90757,94102,94712,87639,92590,109885,74760,33568,57042,83974,4634,144712,28424,59178,9602,153477,26734,14311,18589,20238,12746,13187,13467,14041,11488,12273,12240,22741,27224,36542,20950,16657
CA-02,CA,2,314406,133662,157870,,319329,,143872,,168497,381031,178488,193051,372172,164452,196610,760711,466430,167576,25617,70074,37362,5919,588842,384489,112047,16672,50380,26969,4073,90737,96449,98310,95477,88266,91070,100706,66680,34638,55455,100927,6000,118939,36793,57800,11068,134583,28836,10498,19672,27233,9080,10127,10901,9707,9748,9725,9122,17790,25039,35456,34669,12678
CA-03,CA,3,317448,138404,156262,,328882,,149796,,171372,404906,194057,200336,380854,178536,190297,759251,481807,120633,41898,91878,26290,7690,590736,393039,83124,30374,64844,19450,5441,87570,100862,90970,103234,96959,103282,91855,55739,33045,56838,130172,6854,106981,49057,35111,15713,131209,31406,5824,23369,33108,6395,7328,7271,8038,7734,7965,8227,15520,24301,35602,49854,10588
CA-04,CA,4,371845,272321,74462,,370324,,280098,,82297,429339,331957,87844,399915,298714,88729,759370,463977,194513,21599,57758,27983,5589,611736,396790,135869,16691,43320,22077,4116,74395,90701,81023,89515,98486,108394,106186,74457,37140,46469,150133,12336,84988,66025,52122,26377,116277,29361,6731,22951,37875,5551,6670,6472,6907,7537,7248,8649,14389,21564,34023,71147,10484
CA-05,CA,5,363246,312292,32300,,350820,,303763,,40605,393929,339718,46383,361481,295545,51088,761064,327994,108421,50976,263877,14586,5677,665988,296652,88854,42708,228616,12914,4586,57401,50005,114901,160831,100202,90621,77311,51578,33554,28901,218002,20677,60926,105913,57382,33381,67096,22512,15119,20702,37383,7878,8150,7633,5853,4893,6024,5763,11687,14531,26879,117883,14126
CA-06,CA,6,308555,235903,57418,,308169,,236137,,66956,373746,288606,78001,328011,236772,79862,759747,248425,168486,25803,305906,15420,11749,613263,211077,126309,19854,245174,12188,8951,75603,80436,90946,114532,103400,105636,90172,55191,35179,41306,164301,20373,86050,74896,57086,20498,91378,22337,4941,20000,34428,4115,4668,4563,4212,4555,4757,4516,9392,15104,23661,92976,7259
CA-07,CA,7,252346,175509,61103,,259938,,182920,,71809,324759,229989,86932,290282,193322,86422,760750,233162,197745,113868,200627,26898,18686,583439,201070,137210,82148,149077,20472,13850,91705,100542,110676,118189,94385,87336,77177,44910,27015,47347,106581,6569,106138,37333,71050,15626,119050,26953,11774,21064,24984,8627,9363,8935,9220,8812,9204,9486,18361,25441,36615,29322,14191
CA-08,CA,8,270903,186802,67358,,273732,,191573,,76573,340782,241650,91161,311277,207410,93421,760054,261374,234140,97953,157005,27471,13000,589819,223811,162651,70823,121372,20936,9403,87613,105210,118839,105595,93825,91577,79588,48426,25216,44346,109783,10536,103993,41773,63187,12964,112439,29518,7749,22502,29140,5866,6707,7227,7486,6362,7046,7845,14962,20642,33933,40402,12389
CA-09,CA,9,299676,128929,151391,,308720,,137748,,164989,382886,177680,196303,366686,159015,197384,760305,399534,206569,39840,94213,31608,9008,602392,338396,143233,32522,69125,23444,6360,90275,97304,94371,104383,93922,100834,102603,62741,30394,58914,99483,4923,137671,32579,60656,10252,140435,30630,6635,23339,31835,6355,6901,8147,7537,6983,7791,7987,17301,23552,36830,39087,9802
CA-10,CA,10,191365,119205,61563,,191148,,119314,,68396,247265,154370,87268,222310,118635,96506,759983,162568,381331,73249,139177,32499,10772,548434,136298,253717,50333,100763,22988,7711,110810,124671,107829,109251,93656,85845,65493,37679,19004,37065,55014,2602,141459,16756,108807,4567,98131,23021,7907,17579,19982,7246,8140,8024,8138,8113,6962,7128,15664,20130,32023,19640,10683
