district_code,state,district_num,pres16_total,pres16_dem,pres16_rep,comp16-20_total,comp16-20_dem,comp16-20_rep,pres20_total,pres20_dem,pres20_rep,pres24_total,pres24_dem,pres24_rep,pop_adj_asian,pop_adj_black,pop_adj_hispanic,pop_adj_native,pop_adj_pacific,pop_adj_total,pop_adj_white,vap_total,vap_white,vap_hispanic,vap_black,vap_asian,vap_native,vap_pacific,x_22_2022_age_age_0_9,x_22_2022_age_age_10_19,x_22_2022_age_age_20_29,x_22_2022_age_age_30_39,x_22_2022_age_age_40_49,x_22_2022_age_age_50_59,x_22_2022_age_age_60_69,x_22_2022_age_age_70_79,x_22_2022_age_age_o79,x_22_2022_education_assoc,x_22_2022_education_bach,x_22_2022_education_doc,x_22_2022_education_hs,x_22_2022_education_master,x_22_2022_education_nohs,x_22_2022_education_prof,x_22_2022_education_somecol,x_22_2022_household_income_100_125k,x_22_2022_household_income_10_15k,x_22_2022_household_income_125_150k,x_22_2022_household_income_150_200k,x_22_2022_household_income_15_20k,x_22_2022_household_income_20_25k,x_22_2022_household_income_25_30k,x_22_2022_household_income_30_35k,x_22_2022_household_income_35_40k,x_22_2022_household_income_40_45k,x_22_2022_household_income_45_50k,x_22_2022_household_income_50_60k,x_22_2022_household_income_60_75k,x_22_2022_household_income_75_100k,x_22_2022_household_income_o200k,x_22_2022_household_income_u10k
ME-01,ME,1,382326,205601,150452,389156,208683,158625,430149,258033,159936,436532,261038,165742,16273,20868,15016,13311,800,681179,609297,557050,507050,10166,13089,11477,10033,576,64323,75134,80645,87605,80948,97043,101666,62943,32838,48703,127319,9225,133837,57003,23989,14890,90119,32519,9399,23328,28360,8658,9668,9812,8977,9736,10126,10362,20787,28015,40149,29015,10604
ME-02,ME,2,365609,152134,185141,354291,145608,187596,389220,177037,200831,394843,174614,212235,9200,15436,11593,20191,819,681180,618967,553035,510454,7490,8871,6534,14772,572,67839,76644,76509,80545,78218,99326,104672,65909,34142,54431,87414,6378,177758,33858,35771,7175,98091,26384,16445,17640,17065,13655,14613,14503,14028,12905,13625,12185,23067,28649,38426,13776,13691
MI-01,MI,1,401079,142954,236371,400854,159758,230204,465110,182980,274976,485804,187848,290861,7680,12086,15847,40338,1098,775375,693536,633080,575217,10255,8525,5386,28298,678,72171,87729,88483,82226,82276,106201,131821,84445,42164,62865,94083,5872,183614,41823,40196,9303,132704,30632,15411,18295,17386,14931,15627,15757,15871,15649,14869,14291,28676,35134,46816,15581,15924
MI-02,MI,2,347334,114523,212052,347770,125672,210837,414576,145232,262161,441630,151095,283938,7723,22794,36060,22360,807,774997,680601,606868,541129,23154,16673,5161,15972,480,87080,99268,99635,93072,89741,105294,107944,63426,32187,54755,74341,4389,196012,30565,46518,4646,125739,28537,12686,18821,17877,11385,12153,13981,12907,13046,13015,12447,23661,31989,44260,14050,13181
MI-03,MI,3,355420,166808,166206,357127,179361,166394,416867,222082,186676,427618,226939,193503,29900,105280,82760,17973,1063,775414,543947,597448,442096,52640,70012,20945,12616,678,97196,105345,121353,109639,87945,92799,82757,50056,26937,48839,122359,6742,128616,47530,39449,10868,107213,31870,10981,21850,22800,9975,11267,11284,10096,11970,12444,11731,23301,29616,42550,23804,12094
MI-04,MI,4,360411,152485,186625,357061,161143,185027,417546,196710,213174,433918,201639,225611,25242,82080,66314,19716,967,774600,581638,593972,465772,41861,53347,17493,13886,642,95966,105255,116245,97097,88655,93856,92212,55379,29750,46768,102490,6632,146705,44831,39793,7516,113676,30093,11037,21474,24138,10390,11935,13769,13114,12222,10701,11901,22839,30371,41997,22677,13215
MI-05,MI,5,347875,120334,208566,338966,127920,200954,405858,150373,248444,422372,151101,265208,10674,44448,40121,20861,708,774544,654497,606306,525147,25025,29565,7358,15067,474,86079,99117,91935,90494,91912,106620,107360,66556,33724,57527,79359,4413,186605,34778,47103,5349,125843,30805,11101,18999,21949,11392,13098,13371,13532,13369,13155,12285,24520,33553,41631,17723,12551
MI-06,MI,6,391114,227231,145719,393511,241285,143283,456476,286129,164372,464272,280092,171956,92062,91635,38423,14831,1018,775273,536084,619426,442928,26864,67116,68823,11145,730,80363,104043,120481,94018,94739,100898,91294,57106,28304,41304,136258,20049,92600,88344,24236,20149,95697,32013,7927,24587,34025,7207,8307,8543,9219,10184,9420,8935,18795,25384,37419,49443,14299
MI-07,MI,7,386370,174627,189235,386785,190795,185259,447468,221984,217748,463108,224818,230862,31172,61098,43903,18187,1026,775238,619440,611160,501351,29147,41539,23008,13356,722,85421,99999,117151,94948,89204,102653,98676,57194,27799,53144,117087,9670,128002,51143,27583,10920,123084,33761,10142,22583,28651,8653,10683,11208,10798,12292,10951,11879,23690,29288,42596,29270,12880
MI-08,MI,8,381587,183253,179216,369139,188208,170523,429210,215709,206999,433786,209506,218087,12571,132430,41495,18983,796,775229,569036,606390,462261,26926,91882,9005,14019,494,88742,97882,98082,91945,90084,104943,103390,63568,35261,61177,83155,4526,169972,34097,46920,7209,132469,26766,15882,18403,20628,12757,14191,14433,15177,15257,15591,14062,25305,31770,41958,18662,19122
